old filename,new filename,note
file_000000004ef4820ea4c71f93f0e24136,original-image-01.jpg,JPEG image; renamed because the original had no file extension
file_000000006684820e8b580c45524b0a2a,original-image-02.jpg,JPEG image; renamed because the original had no file extension
file_00000000bce081f4bb1c98cee6d5b466,original-image-03.jpg,JPEG image; renamed because the original had no file extension
file_00000000c898820e87f9236d3bab73a2,original-image-04.jpg,JPEG image; renamed because the original had no file extension
file_00000000d1f8820eb5ad18668e2b6fe2,original-image-05.jpg,JPEG image; renamed because the original had no file extension
file_00000000d940820b827c1474d5861cd8,original-image-06.jpg,JPEG image; renamed because the original had no file extension
file_00000000dd448211b760a487f89f33ba,original-image-07.jpg,JPEG image; renamed because the original had no file extension
,B9E04ED4-F392-4706-AD1C-E59B0AD52312.png,Original/replacement image
,IMG_0978(1).jpeg,Original/replacement image
,IMG_1626(1).jpeg,Original/replacement image
,IMG_1933.jpeg,Original/replacement image
,IMG_2044.jpeg,Original/replacement image
,IMG_2090(1).jpeg,Original/replacement image
,IMG_2121(1).jpeg,Original/replacement image
,IMG_2123(1).jpeg,Original/replacement image
,IMG_2171.jpeg,Original/replacement image
,IMG_2338(1).jpeg,Original/replacement image
,IMG_2339(1).jpeg,Original/replacement image
,IMG_2342(1).jpeg,Original/replacement image
,IMG_2343(1).jpeg,Original/replacement image
,IMG_2344(1).jpeg,Original/replacement image
,IMG_4313.jpeg,Original/replacement image
,IMG_4320.jpeg,Original/replacement image
,IMG_5471.jpeg,Original/replacement image
,IMG_9933(1).jpeg,Original/replacement image
,a.jpg,Original/replacement image
,b.jpg,Original/replacement image
,c.jpg,Original/replacement image
,tmp_outside.jpg,Original/replacement image
